Tweet,Label ,polarity,sentiment
sustainability buzzword doesnt lead real change benefits womanshruggingseedling skepticism,Misinformation,0.2,Positive
green technology markets unstable reliable source income chartdecreasingbriefcase market concerns,Misinformation,-0.2,Negative
projects disrupt rural life lead land disputes tractorbuildingconstruction community conflict,Misinformation,0.0,Neutral
clean manufacturing costly uncompetitive moneybagglobeshowing europe africa cost concerns,Misinformation,0.3666666666666667,Positive
investing renewables waste prioritize immediate economic gains moneymouthfacebriefcase short term focus,Misinformation,0.0,Neutral
solar panels unreliable cant meet needs leading grid dependence highvoltageelectricplug grid reliance,Misinformation,0.0,Neutral
individual actions wont make meaningful difference climate change sunbehindraincloudtornado climate skeptics,Misinformation,0.25,Positive
subsidies waste taxpayer money moneybagfactory budget concerns,Misinformation,-0.2,Negative
diversification costly unnecessary moneybagelectricplug costly transition,Misinformation,-0.4,Negative
offshore wind farms blight scenic coastlines beachwithumbrellawindface aesthetic concerns,Misinformation,0.0,Neutral
diversification costly unnecessary moneybagelectricplug costly transition,Misinformation,-0.4,Negative
green jobs myth wont replace wellpaying jobs traditional industries manconstructionworkerwomanconstructionworker job quality,Misinformation,-0.1,Negative
electric scooters clutter sidewalks pose safety hazards manwalkingkickscooter safety concerns,Misinformation,0.0,Neutral
luxury developing regions pressing needs globeshowing europe africamoneybag development priorities,Misinformation,0.0,Neutral
community solar projects way companies profit us moneybagsun corporate greedy,Misinformation,0.0,Neutral
electric buses expensive purchase maintain burdening city budgets busmoneywithwings budget concerns,Misinformation,-0.5,Negative
relying renewables risky gamble fossil fuels safer bet moneybagoildrum risk concerns,Misinformation,0.0,Neutral
innovation risky lead market disruption job losses chartincreasingwomanconstructionworker economic stability,Misinformation,0.2,Positive
wind farms disrupt farming operations harm crop yields seedlingfactory agricultural concerns,Misinformation,0.0,Neutral
unreliable wont meet needs offgrid communities campingcrossmark reliability concerns,Misinformation,0.0,Neutral
projects infringe indigenous lands rights nationalparkfactory indigenous concerns,Misinformation,0.0,Neutral
sustainable transportation impractical especially long commutes cityscapeautomobile practicality concerns,Misinformation,-0.1,Negative
wave unproven expensive develop waterwavemoneywithwings costly tech,Misinformation,-0.5,Negative
